iter	Passed	Remaining
0	22	22374
1	41	20467
2	58	19319
3	115	28805
4	129	25726
5	147	24403
6	166	23579
7	186	23124
8	207	22894
9	221	21903
10	237	21397
11	254	20950
12	276	20993
13	285	20112
14	297	19522
15	304	18723
16	314	18163
17	320	17510
18	330	17062
19	341	16736
20	348	16246
21	357	15901
22	364	15483
23	371	15117
24	381	14866
25	389	14573
26	396	14272
27	402	13986
28	413	13860
29	427	13817
30	439	13743
31	456	13820
32	472	13855
33	482	13712
34	497	13708
35	508	13624
36	516	13429
37	525	13315
38	532	13126
39	543	13053
40	551	12891
41	559	12758
42	568	12641
43	576	12517
44	585	12421
45	592	12294
46	602	12210
47	609	12092
48	617	11990
49	627	11915
50	636	11842
51	646	11783
52	659	11792
53	669	11722
54	680	11699
55	690	11639
56	698	11556
57	706	11474
58	715	11416
59	724	11353
60	734	11308
61	741	11218
62	752	11188
63	762	11147
64	775	11154
65	783	11093
66	790	11014
67	799	10952
68	806	10880
69	815	10831
70	823	10769
71	836	10785
72	845	10732
73	857	10726
74	870	10730
75	878	10685
76	890	10669
77	900	10639
78	907	10583
79	918	10562
80	925	10495
81	935	10468
82	941	10404
83	955	10417
84	965	10392
85	971	10328
86	984	10335
87	996	10327
88	1006	10299
89	1018	10301
90	1031	10307
91	1040	10270
92	1067	10407
93	1081	10426
94	1105	10526
95	1120	10552
96	1133	10556
97	1143	10521
98	1153	10493
99	1164	10480
100	1171	10425
101	1181	10404
102	1188	10349
103	1199	10335
104	1206	10286
105	1217	10266
106	1225	10225
107	1233	10185
108	1241	10150
109	1249	10109
110	1259	10087
111	1266	10045
112	1275	10011
113	1282	9964
114	1290	9927
115	1298	9896
116	1308	9877
117	1324	9898
118	1342	9940
119	1355	9940
120	1364	9914
121	1373	9887
122	1380	9843
123	1389	9817
124	1395	9771
125	1405	9746
126	1412	9706
127	1422	9690
128	1430	9659
129	1440	9643
130	1447	9603
131	1457	9583
132	1464	9545
133	1472	9514
134	1478	9476
135	1487	9447
136	1494	9413
137	1501	9377
138	1512	9367
139	1522	9354
140	1539	9380
141	1550	9366
142	1561	9357
143	1570	9334
144	1588	9368
145	1598	9350
146	1607	9328
147	1614	9292
148	1623	9270
149	1629	9236
150	1638	9214
151	1645	9180
152	1655	9166
153	1662	9134
154	1672	9120
155	1680	9090
156	1689	9072
157	1699	9055
158	1707	9032
159	1717	9017
160	1727	9001
161	1741	9009
162	1763	9057
163	1785	9101
164	1792	9069
165	1806	9073
166	1818	9068
167	1825	9038
168	1837	9034
169	1844	9007
170	1856	8999
171	1864	8977
172	1871	8948
173	1880	8927
174	1888	8900
175	1897	8884
176	1904	8854
177	1915	8846
178	1924	8824
179	1936	8824
180	1945	8803
181	1959	8805
182	1971	8803
183	1981	8786
184	1988	8759
185	1998	8748
186	2006	8722
187	2015	8706
188	2023	8682
189	2030	8656
190	2036	8626
191	2043	8600
192	2049	8568
193	2055	8539
194	2062	8513
195	2068	8486
196	2074	8456
197	2082	8436
198	2088	8405
199	2094	8379
200	2101	8354
201	2107	8325
202	2115	8306
203	2121	8279
204	2130	8262
205	2138	8241
206	2145	8218
207	2155	8207
208	2163	8188
209	2171	8170
210	2180	8152
211	2186	8128
212	2194	8109
213	2200	8081
214	2207	8061
215	2213	8034
216	2220	8011
217	2228	7992
218	2235	7973
219	2242	7950
220	2248	7926
221	2254	7901
222	2261	7878
223	2267	7854
224	2274	7833
225	2280	7809
226	2287	7788
227	2293	7766
228	2301	7747
229	2308	7727
230	2314	7706
231	2321	7686
232	2328	7664
233	2334	7641
234	2341	7621
235	2348	7603
236	2356	7585
237	2363	7566
238	2390	7610
239	2400	7601
240	2412	7597
241	2420	7582
242	2426	7559
243	2432	7537
244	2439	7518
245	2445	7495
246	2452	7477
247	2458	7454
248	2464	7431
249	2471	7413
250	2477	7392
251	2483	7370
252	2489	7350
253	2495	7328
254	2501	7308
255	2507	7286
256	2513	7265
257	2519	7246
258	2526	7227
259	2532	7207
260	2538	7188
261	2545	7169
262	2551	7150
263	2558	7133
264	2567	7119
265	2575	7105
266	2582	7088
267	2589	7071
268	2597	7057
269	2607	7050
270	2614	7031
271	2622	7019
272	2631	7007
273	2638	6991
274	2644	6972
275	2651	6955
276	2656	6934
277	2661	6913
278	2669	6897
279	2674	6876
280	2679	6857
281	2686	6840
282	2691	6819
283	2699	6804
284	2704	6785
285	2712	6772
286	2719	6755
287	2724	6735
288	2731	6720
289	2736	6700
290	2742	6681
291	2749	6665
292	2754	6646
293	2759	6627
294	2766	6611
295	2773	6597
296	2782	6585
297	2796	6588
298	2805	6576
299	2812	6562
300	2820	6550
301	2828	6538
